,,,B1,Twisted Minds,0-0,0-0,0,MENA1,,C,#N/A,#N/A,0,Day 2 1A,,K,Manchester City,17,0,Day 2 1A,,S,Twisted Minds,14,0,Day 3 1A,,Twisted Minds,14,,,,,,0,0,0,0,0,3
,,,B2,Ninjas in Pyjamas,0-0,0-0,0,EU4,,,#N/A,#N/A,0,,,,Twisted Minds,14,0,,,,Ninjas in Pyjamas,12,0,,,Ninjas in Pyjamas,12,,,,,,0,0,0,0,0,3
,,,B3,Manchester City,0-0,0-0,0,EU5,,D,Manchester City,17,0,Day 2 1B,,L,#N/A,#N/A,0,Day 2 1B,,T,#N/A,#N/A,0,Day 3 1B,,Manchester City,17,,,,,,0,0,0,0,0,3
,,,B4,GSL Play-In Third,0-0,0-0,0,#N/A,,,Ninjas in Pyjamas,12,0,,,,#N/A,#N/A,0,,,,#N/A,#N/A,0,,,GSL Play-In Third,#N/A,,,,,,0,0,0,0,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FALSE,Group C Not Complete,,,GROUP C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Place,Team,Record,G. Rec,Diff,Seed,,Round 1,,,,,,Round 2,,,,,,Round 3,,,,,,Team Results,br,NRG,SR,FUR,#N/A,,M Win,M Loss,G Win,G Loss,Diff,M Left
,,,C1,NRG,0-0,0-0,0,NA1,,E,#N/A,#N/A,0,Day 2 1A,,M,FURIA,10,0,Day 3 1A,,U,Shopify Rebellion,11,0,Day 3 1A,,NRG,2,,,,,,0,0,0,0,0,3
,,,C2,Shopify Rebellion,0-0,0-0,0,NA2,,,#N/A,#N/A,0,,,,NRG,2,0,,,,NRG,2,0,,,Shopify Rebellion,11,,,,,,0,0,0,0,0,3
,,,C3,FURIA,0-0,0-0,0,SAM2,,F,Shopify Rebellion,11,0,Day 2 1B,,N,#N/A,#N/A,0,Day 3 1B,,V,#N/A,#N/A,0,Day 3 1B,,FURIA,10,,,,,,0,0,0,0,0,3
,,,C4,GSL Play-In Second,0-0,0-0,0,#N/A,,,FURIA,10,0,,,,#N/A,#N/A,0,,,,#N/A,#N/A,0,,,GSL Play-In Second,#N/A,,,,,,0,0,0,0,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FALSE,Group D Not Complete,,,GROUP D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Place,Team,Record,G. Rec,Diff,Seed,,Round 1,,,,,,Round 2,,,,,,Round 3,,,,,,Team Results,br,M8,VIT,WC,#N/A,,M Win,M Loss,G Win,G Loss,Diff,M Left
,,,D1,Gentle Mates,0-0,0-0,0,EU2,,G,#N/A,#N/A,0,Day 2 1A,,O,Wildcard Gaming,16,0,Day 3 1A,,W,Gentle Mates,13,0,Day 3 1A,,Gentle Mates,13,,,,,,0,0,0,0,0,3
,,,D2,Team Vitality,0-0,0-0,0,EU3,,,#N/A,#N/A,0,,,,Gentle Mates,13,0,,,,Team Vitality,4,0,,,Team Vitality,4,,,,,,0,0,0,0,0,3
,,,D3,Wildcard Gaming,0-0,0-0,0,OCE1,,H,Wildcard Gaming,16,0,Day 2 1B,,P,#N/A,#N/A,0,Day 3 1B,,X,#N/A,#N/A,0,Day 3 1B,,Wildcard Gaming,16,,,,,,0,0,0,0,0,3
,,,D4,GSL Play-In First,0-0,0-0,0,#N/A,,,Team Vitality,4,0,,,,#N/A,#N/A,0,,,,#N/A,#N/A,0,,,GSL Play-In First,#N/A,,,,,,0,0,0,0,0,3
